proxy_cp	hangul	hangul_cp
U+6715	란	U+B780
U+6734	랄	U+B784
U+673A	람	U+B78C
U+673D	랍	U+B78D
U+674E	랐	U+B790
U+674F	랑	U+B791
U+6753	랖	U+B796
U+6756	래	U+B798
U+6762	랙	U+B799
U+676D	랜	U+B79C
U+6775	램	U+B7A8
U+6777	랩	U+B7A9
U+6787	랫	U+B7AB
U+6795	랬	U+B7AC
U+679D	랭	U+B7AD
U+67A0	략	U+B7B5
U+67B6	량	U+B7C9
U+67C1	러	U+B7EC
U+67CA	럭	U+B7ED
U+67CF	런	U+B7F0
U+67D0	럴	U+B7F4
U+67D1	럼	U+B7FC
U+67D8	럽	U+B7FD
U+67DA	럿	U+B7FF
U+67F3	렀	U+B800
U+67F4	렁	U+B801
U+67F5	렇	U+B807
U+67FE	레	U+B808
U+67FF	렉	U+B809
U+6802	렌	U+B80C
U+6803	렐	U+B810
U+6813	렘	U+B818
U+6816	렛	U+B81B
U+6822	려	U+B824
U+682A	력	U+B825
U+6834	련	U+B828
U+683D	렬	U+B82C
U+6850	렴	U+B834
U+6853	렵	U+B835
U+6854	렷	U+B837
U+685C	렸	U+B838
U+685D	령	U+B839
U+6867	례	U+B840
U+6876	로	U+B85C
U+687F	록	U+B85D
U+6897	론	U+B860
U+68A7	롤	U+B864
U+68AF	롬	U+B86C
U+68B1	롭	U+B86D
U+68B6	롯	U+B86F
U+68BC	롱	U+B871
U+68C9	뢰	U+B8B0
U+68DF	료	U+B8CC
U+68F2	룡	U+B8E1
U+68FA	루	U+B8E8
U+690B	룬	U+B8EC
U+690E	룰	U+B8F0
U+6912	룸	U+B8F8
U+6919	룹	U+B8F9
U+691B	룻	U+B8FB
U+6934	뤄	U+B904
U+694A	뤘	U+B918
U+6955	뤼	U+B93C
U+6960	류	U+B958
U+6962	륙	U+B959
U+6973	륜	U+B95C
U+697C	률	U+B960
U+698E	륭	U+B96D
U+6994	르	U+B974
U+699B	른	U+B978
U+69CC	를	U+B97C
U+69D9	름	U+B984
U+69FB	릅	U+B985
U+69FD	릇	U+B987
U+6A0B	릎	U+B98E
U+6A17	리	U+B9AC
U+6A1F	릭	U+B9AD
U+6A2B	린	U+B9B0
U+6A35	릴	U+B9B4
U+6A3A	림	U+B9BC
U+6A3D	립	U+B9BD
U+6A58	릿	U+B9BF
U+6A61	링	U+B9C1
U+6A7F	마	U+B9C8
U+6A8E	막	U+B9C9
U+6ADB	만	U+B9CC
U+6AE8	많	U+B9CE
U+6B1D	말	U+B9D0
U+6B23	맑	U+B9D1
U+6B3E	맙	U+B9D9
U+6B4E	맛	U+B9DB
U+6B83	망	U+B9DD
U+6B86	맞	U+B9DE
U+6B89	맡	U+B9E1
U+6BBB	매	U+B9E4
U+6BC5	맥	U+B9E5
U+6BD8	맨	U+B9E8
U+6C3E	맵	U+B9F5
U+6C40	맹	U+B9F9
U+6C41	맺	U+B9FA
